,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,33442558,762386873,22.8,22.9,22.7,22.9,0.3,10939
1,2023-05-03,26517570,607908938,22.85,23.0,22.75,22.95,0.05,8231
2,2023-05-04,21601170,497938797,22.95,23.15,22.85,23.1,0.15,7159
3,2023-05-05,18318014,422290150,23.1,23.15,23.0,23.05,-0.05,5258
4,2023-05-08,28739880,668053599,23.15,23.35,23.1,23.35,0.3,8622
5,2023-05-09,16329568,380202042,23.35,23.4,23.2,23.3,-0.05,6528
6,2023-05-10,18457324,429461259,23.35,23.35,23.15,23.3,0.0,6368
7,2023-05-11,20804934,484418311,23.3,23.35,23.2,23.3,0.0,5782
8,2023-05-12,22013671,510427949,23.35,23.35,23.1,23.1,-0.2,8477
9,2023-05-15,21469110,498671740,23.1,23.4,23.0,23.35,0.25,5869
10,2023-05-16,33972882,797846720,23.5,23.55,23.4,23.55,0.2,9924
11,2023-05-17,60542053,1442201007,23.5,24.0,23.5,23.8,0.25,21034
12,2023-05-18,42768525,1028749218,23.9,24.15,23.85,24.1,0.3,11503
13,2023-05-19,39270250,953473542,24.2,24.4,24.15,24.4,0.3,12115
14,2023-05-22,35423335,870232226,24.4,24.7,24.35,24.55,0.15,12774
15,2023-05-23,30539165,750464360,24.55,24.7,24.35,24.6,0.05,9692
16,2023-05-24,22336487,545174530,24.5,24.55,24.25,24.5,-0.1,11345
17,2023-05-25,22699695,548307231,24.3,24.35,24.05,24.1,-0.4,8780
18,2023-05-26,24686560,593935874,24.1,24.25,23.85,24.1,0.0,8045
19,2023-05-29,16798797,409002873,24.15,24.45,24.15,24.4,0.3,5968
20,2023-05-30,27222186,667736096,24.55,24.6,24.4,24.5,0.1,9787
21,2023-05-31,72549839,1763888566,24.5,24.55,24.25,24.3,-0.2,7927
22,2023-06-01,23561327,574068976,24.3,24.5,24.25,24.3,0.0,9570
23,2023-06-02,24956867,606900503,24.5,24.5,24.25,24.3,0.0,6768
24,2023-06-05,40030968,981748934,24.45,24.65,24.4,24.45,0.15,8182
25,2023-06-06,27178948,664504109,24.45,24.55,24.35,24.45,0.0,6908
26,2023-06-07,28620398,702109487,24.5,24.6,24.45,24.6,0.15,7288
27,2023-06-08,30282407,744008609,24.55,24.65,24.5,24.65,0.05,9062
28,2023-06-09,51605412,1294128628,24.8,25.25,24.75,25.2,0.55,16381
29,2023-06-12,35271068,880681244,25.2,25.3,24.7,24.8,-0.4,13367
30,2023-06-13,29375398,731010793,24.8,25.0,24.7,24.8,0.0,7953
31,2023-06-14,28116987,697216753,24.8,24.95,24.7,24.75,-0.05,7379
32,2023-06-15,25621429,632104259,24.7,24.8,24.6,24.7,-0.05,10076
33,2023-06-16,47799217,1177120801,24.7,24.8,24.55,24.55,-0.15,8553
34,2023-06-19,29535910,735154581,24.55,25.05,24.5,25.05,0.5,8224
35,2023-06-20,26973018,674050986,24.95,25.05,24.8,25.05,0.0,6016
36,2023-06-21,28278950,707451829,24.9,25.15,24.85,25.1,0.05,8973
37,2023-06-26,29088429,727590436,25.0,25.2,24.9,24.95,-0.15,8615
38,2023-06-27,22174721,549459552,24.9,25.0,24.6,24.75,-0.2,7379
39,2023-06-28,19718058,490441672,24.7,25.0,24.7,25.0,0.25,5448
40,2023-06-29,20041017,499038719,25.15,25.15,24.8,24.9,-0.1,7533
41,2023-06-30,27450561,683389665,24.85,25.15,24.7,24.85,-0.05,6022
42,2023-07-03,17301978,433566664,24.9,25.1,24.85,25.1,0.25,7804
43,2023-07-04,23010923,573647955,24.95,25.1,24.8,24.85,-0.25,5898
44,2023-07-05,22266077,556524902,25.0,25.1,24.9,24.95,0.1,6424
45,2023-07-06,55511626,1359450309,24.8,24.85,24.25,24.5,-0.45,17082
46,2023-07-07,27627488,674189489,24.3,24.65,24.15,24.6,0.1,7838
47,2023-07-10,23400430,574514305,24.5,24.75,24.35,24.5,-0.1,6124
48,2023-07-11,26532615,659811383,24.8,25.0,24.75,24.95,0.45,4891
49,2023-07-12,29564943,741020616,24.9,25.15,24.85,25.15,0.2,7023
50,2023-07-13,21348384,533921393,25.2,25.25,24.9,24.9,-0.25,6810
51,2023-07-14,48999499,1238641939,25.0,25.4,25.0,25.4,0.5,11892
52,2023-07-17,59959059,1556099622,25.4,26.15,25.35,26.15,0.75,17394
53,2023-07-18,49439396,1293089425,26.05,26.3,25.9,26.25,0.1,18539
54,2023-07-19,52379504,1366055113,26.25,26.3,25.9,26.05,-0.2,14261
55,2023-07-20,51544344,1349160025,25.8,26.25,25.8,26.2,0.15,15323
56,2023-07-21,58424663,1542095780,26.0,26.6,26.0,26.45,0.25,14447
57,2023-07-24,39240154,1024461778,26.4,26.4,26.0,26.1,-0.35,14230
58,2023-07-25,27536011,724374922,26.0,26.45,26.0,26.35,0.25,7957
59,2023-07-26,26589789,704723504,26.3,26.6,26.25,26.5,0.15,7123
60,2023-07-27,24081763,639831048,26.5,26.7,26.45,26.6,0.1,7081
61,2023-07-28,26656653,702515299,26.45,26.6,26.15,26.35,-0.25,8588
62,2023-07-31,54758678,1443416644,26.45,26.6,26.25,26.25,-0.1,11414
63,2023-08-01,49281782,1290793991,26.4,26.45,26.05,26.25,0.0,11123
64,2023-08-02,70802970,1846312248,26.25,26.25,25.95,26.15,-0.1,15267
65,2023-08-04,85676269,2124586507,25.3,25.3,24.55,24.6,0.0,29826
66,2023-08-07,48992182,1207452767,24.7,24.9,24.55,24.6,0.0,14470
67,2023-08-08,50817450,1249059017,24.65,24.75,24.5,24.6,0.0,13168
68,2023-08-09,59015482,1459689147,24.8,24.95,24.6,24.8,0.2,12436
69,2023-08-10,33101701,820847839,24.8,24.9,24.65,24.9,0.1,10413
70,2023-08-11,25646472,640112688,24.95,25.2,24.8,24.9,0.0,7890
71,2023-08-14,57967155,1405194014,24.65,24.7,24.05,24.3,-0.6,21203
72,2023-08-15,53161816,1275396178,24.3,24.3,23.8,23.9,-0.4,21894
73,2023-08-16,64350790,1501209829,23.55,23.55,23.15,23.4,-0.5,28683
74,2023-08-17,64064087,1476845239,23.05,23.25,22.8,23.25,-0.15,22138
75,2023-08-18,31908248,747916681,23.25,23.8,23.1,23.35,0.1,11445
76,2023-08-21,31539490,751645639,23.6,23.95,23.55,23.85,0.5,11403
77,2023-08-22,56766932,1337014782,23.85,23.95,23.35,23.55,-0.3,16867
78,2023-08-23,23791223,563195485,23.55,23.85,23.5,23.7,0.15,7603
79,2023-08-24,26452842,630722877,23.7,24.0,23.7,23.85,0.15,8262
80,2023-08-25,24431993,576681995,23.8,23.85,23.5,23.5,-0.35,11443
81,2023-08-28,16252241,385616657,23.5,23.85,23.5,23.8,0.3,4710
82,2023-08-29,19804892,473023303,23.8,24.0,23.75,24.0,0.2,7912
83,2023-08-30,23031203,551163994,24.05,24.1,23.8,23.9,-0.1,8767
84,2023-08-31,47871280,1140460115,24.0,24.05,23.7,23.85,-0.05,10531
85,2023-09-01,19987858,476132459,23.8,24.0,23.75,23.8,-0.05,10183
86,2023-09-04,12231618,291925629,23.75,23.95,23.75,23.95,0.15,5382
87,2023-09-05,18335039,439716640,23.95,24.05,23.9,24.0,0.05,7398
88,2023-09-06,24319413,578110415,23.95,24.05,23.65,23.65,-0.35,13104
89,2023-09-07,21645335,510693139,23.6,23.7,23.55,23.6,-0.05,8273
90,2023-09-08,28068411,673081484,23.9,24.1,23.8,24.05,0.45,9347
91,2023-09-11,31896252,770810995,24.1,24.35,24.05,24.25,0.2,9169
92,2023-09-12,25694753,623017694,24.35,24.35,24.1,24.35,0.1,7538
