,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,31621260,1574418800,49.5,50.2,49.25,49.85,0.75,13655
1,2023-05-03,29415323,1462831080,49.9,50.2,49.4,49.95,0.1,13572
2,2023-05-04,26566563,1317677961,49.8,49.8,49.4,49.65,-0.3,12103
3,2023-05-05,21107026,1048202538,49.7,49.95,49.5,49.6,-0.05,9173
4,2023-05-08,27878169,1397823924,50.1,50.6,49.95,50.0,0.4,12193
5,2023-05-09,21808342,1088969428,50.1,50.2,49.75,49.95,-0.05,9736
6,2023-05-10,29180693,1442745113,49.8,49.8,49.2,49.45,-0.5,13006
7,2023-05-11,25401759,1253216409,49.75,49.75,49.1,49.2,-0.25,10918
8,2023-05-12,36798915,1792582602,48.8,48.9,48.5,48.7,-0.5,16318
9,2023-05-15,45492702,2191408321,48.7,48.8,47.9,48.1,-0.6,20962
10,2023-05-16,36853738,1796143239,48.45,49.0,48.45,48.8,0.7,15598
11,2023-05-17,45854527,2249778929,48.9,49.3,48.65,49.25,0.45,24763
12,2023-05-18,41997647,2101493370,49.95,50.3,49.7,50.2,0.95,19682
13,2023-05-19,55935310,2796310368,50.5,50.5,49.75,50.0,-0.2,21264
14,2023-05-22,75830209,3704151926,49.5,49.6,48.7,48.9,-1.1,37500
15,2023-05-23,40015708,1958988444,48.85,49.2,48.8,48.9,0.0,17028
16,2023-05-24,27161064,1331088745,48.8,49.15,48.7,49.15,0.25,12750
17,2023-05-25,43475875,2126859273,49.3,49.4,48.7,48.9,-0.25,16946
18,2023-05-26,127178822,6379364421,49.05,50.8,49.0,50.4,1.5,46222
19,2023-05-29,81234310,4198630040,52.3,52.8,51.1,51.2,0.8,32452
20,2023-05-30,55668826,2867151774,51.2,51.8,50.6,51.6,0.4,22777
21,2023-05-31,112736308,5829099818,51.4,51.8,51.1,51.8,0.2,16756
22,2023-06-01,56269465,2850393651,51.3,51.3,50.3,50.8,-1.0,30164
23,2023-06-02,46446924,2377260197,51.0,51.4,50.6,51.4,0.6,18880
24,2023-06-05,28214498,1439021698,51.4,51.5,50.8,50.9,-0.5,12560
25,2023-06-06,35065503,1772498975,50.8,50.9,50.4,50.5,-0.4,15682
26,2023-06-07,41841071,2146209572,50.9,51.5,50.7,51.3,0.8,16729
27,2023-06-08,38488584,1982716556,51.2,51.7,51.1,51.5,0.2,16675
28,2023-06-09,52885328,2751876437,51.9,52.4,51.7,52.3,0.8,25538
29,2023-06-12,43324958,2270631791,52.4,52.6,52.0,52.6,0.3,19003
30,2023-06-13,62668295,3330755537,53.1,53.3,52.9,53.2,0.6,26235
31,2023-06-14,51087797,2729773798,53.5,53.6,53.3,53.5,0.3,20464
32,2023-06-15,76872686,4166322406,53.8,54.6,53.8,54.5,1.0,34597
33,2023-06-16,85125854,4596742131,54.3,54.5,53.2,54.5,0.0,27093
34,2023-06-19,45509680,2452555432,53.7,54.3,53.6,53.8,-0.7,18339
35,2023-06-20,67192640,3611661273,53.6,54.0,53.5,53.7,-0.1,16368
36,2023-06-21,82353767,4396850907,52.8,53.9,52.8,53.9,0.2,21671
37,2023-06-26,89629372,4785624994,53.3,53.8,53.2,53.3,-0.6,25031
38,2023-06-27,146810556,7286874679,50.0,50.0,49.05,49.05,0.0,45769
39,2023-06-28,33543509,1653079525,49.5,49.5,49.1,49.1,0.05,15179
40,2023-06-29,50112009,2440493812,49.35,49.35,48.5,48.5,-0.6,26556
41,2023-06-30,44533965,2151795484,48.35,48.75,48.05,48.5,0.0,18730
42,2023-07-03,52972111,2573598416,49.0,49.2,48.25,48.25,-0.25,28023
43,2023-07-04,30856539,1500613670,48.5,48.8,48.45,48.8,0.55,12524
44,2023-07-05,28677270,1391498073,48.95,49.0,48.35,48.35,-0.45,15426
45,2023-07-06,41894669,2024067821,48.0,48.8,48.0,48.15,-0.2,18772
46,2023-07-07,39817906,1927984514,48.05,48.95,48.0,48.35,0.2,16223
47,2023-07-10,34464583,1662115852,48.6,48.75,48.0,48.1,-0.25,14752
48,2023-07-11,31638103,1529729670,48.55,48.7,48.2,48.5,0.4,14045
49,2023-07-12,62885734,3004407502,48.25,48.45,47.6,47.75,-0.75,34246
50,2023-07-13,52857548,2524514142,47.85,48.25,47.5,47.5,-0.25,25567
51,2023-07-14,58063608,2808130131,47.85,48.8,47.8,48.25,0.75,21950
52,2023-07-17,47915206,2312707552,48.25,48.7,47.65,48.45,0.2,24303
53,2023-07-18,26766336,1293790962,48.75,48.8,48.15,48.2,-0.25,11898
54,2023-07-19,49979016,2387680882,48.3,48.5,47.45,47.5,-0.7,27236
55,2023-07-20,87937056,4072989930,47.05,47.1,46.0,46.1,-1.4,52795
56,2023-07-21,97411169,4386502159,45.0,45.45,44.7,45.2,-0.9,41395
57,2023-07-24,51852629,2345390806,45.05,45.9,44.85,45.05,-0.15,22824
58,2023-07-25,36505190,1664595401,45.45,45.9,45.2,45.65,0.6,16989
59,2023-07-26,39083302,1776865274,45.75,45.95,45.1,45.1,-0.55,19022
60,2023-07-27,61431490,2828891719,45.1,46.7,45.05,46.15,1.05,25119
61,2023-07-28,50417639,2368112180,46.65,47.3,46.3,47.05,0.9,24271
62,2023-07-31,53690313,2520175092,47.35,47.5,46.65,47.0,-0.05,20497
63,2023-08-01,24221458,1136581455,47.0,47.15,46.7,47.0,0.0,10445
64,2023-08-02,34959173,1637612503,46.7,47.45,46.5,46.65,-0.35,16531
