,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,17130705,465470802,27.1,27.25,27.05,27.2,0.1,6645
1,2023-05-03,17612613,475391040,27.15,27.2,26.85,26.95,-0.25,5461
2,2023-05-04,16333412,440424580,26.9,27.05,26.85,27.05,0.1,3591
3,2023-05-05,10870265,293946653,27.05,27.15,26.95,27.1,0.05,3268
4,2023-05-08,13625283,372570173,27.2,27.45,27.15,27.4,0.3,5017
5,2023-05-09,11687316,321048002,27.4,27.6,27.35,27.55,0.15,3942
6,2023-05-10,7951291,218667042,27.6,27.6,27.45,27.5,-0.05,3954
7,2023-05-11,7280498,199924123,27.55,27.55,27.35,27.5,0.0,2628
8,2023-05-12,10965038,299215872,27.45,27.45,27.2,27.25,-0.25,4893
9,2023-05-15,9154480,250297491,27.15,27.5,27.1,27.4,0.15,3511
10,2023-05-16,11977034,329362156,27.45,27.6,27.4,27.55,0.15,4111
11,2023-05-17,20942265,582250545,27.55,28.0,27.5,27.9,0.35,9332
12,2023-05-18,15531133,434442045,27.95,28.05,27.9,28.05,0.15,5673
13,2023-05-19,13577725,380642072,28.05,28.1,27.9,28.1,0.05,5697
14,2023-05-22,13106402,367617460,28.0,28.15,27.95,28.0,-0.1,7254
15,2023-05-23,13426121,376620060,28.1,28.15,27.95,28.15,0.15,5252
16,2023-05-24,15118536,421360051,28.0,28.0,27.75,28.0,-0.15,7779
17,2023-05-25,14938175,414544949,27.8,28.0,27.7,27.75,-0.25,6443
18,2023-05-26,12624550,349715748,27.65,27.85,27.55,27.75,0.0,5833
19,2023-05-29,11798177,329479016,27.85,28.0,27.75,28.0,0.25,4913
20,2023-05-30,17301372,485123555,28.0,28.15,27.9,28.1,0.1,6340
21,2023-05-31,47693741,1339191654,28.1,28.1,27.9,28.1,0.0,4756
22,2023-06-01,29353007,812062388,27.8,27.8,27.55,27.65,-0.45,10119
23,2023-06-02,20725322,572982358,27.75,27.75,27.55,27.6,-0.05,7862
24,2023-06-05,14139961,393412580,27.65,27.95,27.65,27.75,0.15,3831
25,2023-06-06,10282658,285808047,27.75,27.95,27.7,27.75,0.0,4506
26,2023-06-07,11965442,333236823,27.75,27.9,27.75,27.9,0.15,5058
27,2023-06-08,8913316,248818168,27.95,28.0,27.85,27.95,0.05,3884
28,2023-06-09,9350164,261415941,28.0,28.0,27.9,27.95,0.0,3989
29,2023-06-12,11937828,333975965,27.95,28.1,27.9,27.9,-0.05,4151
30,2023-06-13,11446487,319809630,27.9,28.05,27.8,27.9,0.0,4546
31,2023-06-14,8493587,236964853,27.9,28.0,27.85,27.85,-0.05,4381
32,2023-06-15,15666780,434554884,27.85,27.95,27.6,27.7,-0.15,6790
33,2023-06-16,20453052,566065999,27.7,27.85,27.6,27.6,-0.1,4432
34,2023-06-19,6603804,182868385,27.6,27.8,27.55,27.8,0.2,3464
35,2023-06-20,10608496,294767039,27.8,27.85,27.7,27.8,0.0,3526
36,2023-06-21,12451240,347399664,27.75,28.0,27.7,27.9,0.1,4425
37,2023-06-26,13389722,371650928,27.8,27.9,27.55,27.75,-0.15,4472
38,2023-06-27,6578503,182600554,27.65,27.9,27.65,27.7,-0.05,2916
39,2023-06-28,20874484,576541143,27.8,27.8,27.55,27.65,-0.05,6290
40,2023-06-29,10815725,299328523,27.8,27.8,27.55,27.7,0.05,3828
41,2023-06-30,11634898,321554579,27.55,27.75,27.55,27.65,-0.05,3716
42,2023-07-03,7180249,199093854,27.8,27.8,27.65,27.7,0.05,3013
43,2023-07-04,8094012,224339243,27.7,27.8,27.65,27.8,0.1,3306
44,2023-07-05,7387330,205208865,27.7,27.85,27.7,27.8,0.0,3161
45,2023-07-06,23002043,632929214,27.8,27.8,27.4,27.4,-0.4,9494
46,2023-07-07,14977780,407074493,27.25,27.35,27.05,27.2,-0.2,6825
47,2023-07-10,12388570,338190348,27.2,27.55,27.15,27.3,0.1,4826
48,2023-07-11,10967092,304030123,27.45,27.8,27.45,27.8,0.5,3256
49,2023-07-12,11802725,328259255,27.5,27.9,27.5,27.9,0.1,4190
50,2023-07-13,9960366,278347695,27.9,28.0,27.9,27.9,0.0,3470
51,2023-07-14,14323998,401733019,27.9,28.15,27.85,28.15,0.25,4535
52,2023-07-17,17659906,498229646,28.15,28.3,28.1,28.25,0.1,5293
53,2023-07-18,16129973,457303029,28.3,28.5,28.25,28.3,0.05,4924
54,2023-07-19,12197521,344477801,28.4,28.5,28.0,28.15,-0.15,4218
55,2023-07-20,9283132,262219739,28.3,28.3,28.1,28.3,0.15,3093
56,2023-07-21,12077262,340839123,28.2,28.4,28.1,28.2,-0.1,3704
57,2023-07-24,9681388,271971348,28.2,28.2,28.0,28.05,-0.15,3094
58,2023-07-25,11435451,323083393,28.2,28.35,28.1,28.35,0.3,2854
59,2023-07-26,20064352,573473820,28.35,28.7,28.25,28.7,0.35,5829
60,2023-07-27,18734327,537554236,28.7,28.8,28.55,28.7,0.0,5152
61,2023-07-28,10591036,304929908,28.85,28.9,28.7,28.8,0.1,4305
62,2023-07-31,17221585,500616225,28.95,29.3,28.9,29.05,0.25,5174
63,2023-08-01,14054622,409314471,29.1,29.25,29.0,29.25,0.2,5378
64,2023-08-02,26569308,768060539,29.1,29.2,28.8,28.9,-0.35,9922
65,2023-08-04,26250243,756991758,28.9,29.0,28.7,28.75,-0.15,11127
66,2023-08-07,20328478,588731613,28.75,29.1,28.7,28.95,0.2,7229
67,2023-08-08,17509266,506073851,28.95,29.05,28.8,28.85,-0.1,6223
68,2023-08-09,26600401,772789637,28.9,29.2,28.9,29.15,0.3,5592
69,2023-08-10,37050909,1081743944,29.2,29.3,29.05,29.25,0.1,9031
70,2023-08-11,51157199,1405063572,27.8,27.85,27.2,27.2,0.0,24700
71,2023-08-14,23684553,636451543,27.2,27.2,26.7,26.85,-0.35,12000
72,2023-08-15,19800630,527306742,26.85,26.9,26.5,26.5,-0.35,11431
73,2023-08-16,21374285,558672953,26.3,26.35,26.0,26.1,-0.4,11709
74,2023-08-17,21979609,571880637,26.0,26.25,25.8,26.1,0.0,9040
75,2023-08-18,19002522,499991490,26.15,26.55,26.1,26.2,0.1,5581
76,2023-08-21,14679976,385752373,26.3,26.4,26.2,26.25,0.05,6053
77,2023-08-22,8752940,229628492,26.35,26.35,26.15,26.25,0.0,4168
78,2023-08-23,12501353,329054278,26.3,26.4,26.25,26.3,0.05,3830
79,2023-08-24,16033064,424441407,26.4,26.6,26.35,26.45,0.15,4264
80,2023-08-25,17546035,463352667,26.5,26.6,26.25,26.25,-0.2,7109
81,2023-08-28,8132192,216195194,26.35,26.7,26.35,26.55,0.3,3602
82,2023-08-29,8082295,215001955,26.6,26.7,26.5,26.7,0.15,4051
83,2023-08-30,12361546,330064873,26.8,26.8,26.6,26.7,0.0,5173
84,2023-08-31,36253283,956458018,26.8,26.8,26.3,26.3,-0.4,11899
85,2023-09-01,8815530,233457940,26.3,26.65,26.3,26.45,0.15,4785
86,2023-09-04,6728961,178609968,26.45,26.65,26.45,26.6,0.15,3588
87,2023-09-05,6567097,174650626,26.55,26.65,26.5,26.6,0.0,3147
88,2023-09-06,13139224,347644318,26.5,26.6,26.4,26.4,-0.2,6721
89,2023-09-07,8242988,217966189,26.4,26.5,26.35,26.45,0.05,3639
90,2023-09-08,5149504,136619094,26.45,26.6,26.45,26.55,0.1,2957
91,2023-09-11,8304756,220405995,26.55,26.6,26.45,26.6,0.05,3579
92,2023-09-12,13301814,354888525,26.6,26.75,26.55,26.75,0.15,3383
93,2023-09-13,7522741,200789125,26.7,26.75,26.6,26.75,0.0,3455
