,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,17142380,8572554842,500.0,502.0,496.5,501.0,-1.0,18247
1,2023-05-03,12694698,6305914905,496.0,498.0,495.0,496.0,-5.0,25658
2,2023-05-04,13699933,6818128036,497.0,499.5,496.0,498.0,2.0,14801
3,2023-05-05,7898012,3949232374,500.0,502.0,498.5,500.0,2.0,10944
4,2023-05-08,11737287,5932968954,509.0,509.0,502.0,504.0,4.0,13709
5,2023-05-09,18762778,9530653802,507.0,510.0,505.0,510.0,6.0,17452
6,2023-05-10,19385820,9753130414,508.0,508.0,500.0,503.0,-7.0,26320
7,2023-05-11,13775130,6894746011,506.0,506.0,498.5,499.0,-4.0,20237
8,2023-05-12,20746928,10313384387,496.0,500.0,495.0,496.0,-3.0,27989
9,2023-05-15,15548031,7721867966,497.0,499.5,494.5,495.5,-0.5,16896
10,2023-05-16,24052785,12131536763,503.0,508.0,500.0,505.0,9.5,22355
11,2023-05-17,44352410,22870340267,508.0,521.0,506.0,519.0,14.0,52663
12,2023-05-18,46107848,24437734052,533.0,536.0,526.0,530.0,11.0,50359
13,2023-05-19,34742592,18476363730,535.0,535.0,529.0,532.0,2.0,39104
14,2023-05-22,19037508,10100912410,532.0,533.0,529.0,531.0,-1.0,18796
15,2023-05-23,20126817,10638352410,530.0,531.0,525.0,530.0,-1.0,15826
16,2023-05-24,22621221,11888325332,527.0,528.0,524.0,525.0,-5.0,16339
17,2023-05-25,68360924,36976525917,542.0,545.0,537.0,543.0,18.0,80930
18,2023-05-26,104924623,59322536825,568.0,568.0,563.0,566.0,23.0,131612
19,2023-05-29,58813792,33454887785,574.0,574.0,564.0,568.0,2.0,52250
20,2023-05-30,47490594,26861389177,566.0,568.0,563.0,566.0,-2.0,32956
21,2023-05-31,90675529,50573324515,560.0,562.0,551.0,558.0,-8.0,39679
22,2023-06-01,25257673,13920836412,550.0,554.0,550.0,551.0,-7.0,25441
23,2023-06-02,34705102,19460144774,559.0,564.0,557.0,562.0,11.0,30644
24,2023-06-05,17483804,9730882750,560.0,560.0,555.0,555.0,-7.0,20211
25,2023-06-06,21562088,12043550635,554.0,562.0,553.0,560.0,5.0,15551
26,2023-06-07,29091913,16449319451,561.0,568.0,560.0,568.0,8.0,29548
27,2023-06-08,25250687,14190442437,562.0,568.0,555.0,559.0,-9.0,27238
28,2023-06-09,19776199,11160654540,561.0,566.0,561.0,565.0,6.0,16713
29,2023-06-12,28656646,16431644333,574.0,574.0,571.0,574.0,9.0,38130
30,2023-06-13,62671781,37077358748,593.0,594.0,589.0,593.0,19.0,84903
31,2023-06-14,25981992,15311616372,590.0,591.0,587.0,590.0,-3.0,28171
32,2023-06-15,29868798,17618169127,590.0,593.0,587.0,591.0,0.0,28303
33,2023-06-16,41560389,24417862365,590.0,590.0,584.0,589.0,-2.0,27450
34,2023-06-19,14883308,8682282040,583.0,585.0,582.0,583.0,-6.0,18979
35,2023-06-20,17013418,9902274410,579.0,585.0,579.0,583.0,0.0,17658
36,2023-06-21,23718735,13782152333,582.0,585.0,578.0,581.0,-2.0,25132
37,2023-06-26,29870090,17192208130,576.0,578.0,574.0,574.0,-7.0,28167
38,2023-06-27,22447417,12847067878,570.0,575.0,569.0,572.0,-2.0,20736
39,2023-06-28,18684508,10734873692,579.0,579.0,571.0,574.0,2.0,15939
40,2023-06-29,18046268,10372330946,578.0,580.0,570.0,573.0,-1.0,17649
41,2023-06-30,33830922,19401712736,570.0,576.0,568.0,576.0,3.0,20529
42,2023-07-03,15118041,8743824984,578.0,580.0,576.0,579.0,3.0,15659
43,2023-07-04,17777363,10361905547,585.0,585.0,580.0,585.0,6.0,18848
44,2023-07-05,15553503,9060750346,589.0,589.0,579.0,582.0,-3.0,16504
45,2023-07-06,32069711,18234491768,573.0,574.0,565.0,565.0,-17.0,60108
46,2023-07-07,19858943,11244712238,565.0,572.0,563.0,565.0,0.0,21855
47,2023-07-10,18996089,10794393087,567.0,573.0,565.0,565.0,0.0,17792
48,2023-07-11,18566571,10665245909,574.0,577.0,570.0,577.0,12.0,17795
49,2023-07-12,16220006,9338600582,574.0,578.0,572.0,578.0,1.0,14426
50,2023-07-13,26878397,15790086719,587.0,590.0,585.0,585.0,7.0,32540
51,2023-07-14,24381177,14372679526,589.0,591.0,587.0,591.0,6.0,26789
52,2023-07-17,14311753,8428551949,588.0,591.0,587.0,591.0,0.0,18226
53,2023-07-18,22022410,12866196578,587.0,588.0,580.0,581.0,-10.0,31079
54,2023-07-19,24909638,14517904258,584.0,587.0,579.0,581.0,0.0,20069
55,2023-07-20,15676734,9102325307,580.0,584.0,578.0,579.0,-2.0,19382
56,2023-07-21,52275128,29291080481,560.0,563.0,557.0,560.0,-19.0,86810
57,2023-07-24,27656825,15469188055,557.0,563.0,557.0,558.0,-2.0,30269
58,2023-07-25,22767807,12899067927,561.0,569.0,561.0,569.0,11.0,21119
59,2023-07-26,15147698,8586520667,569.0,571.0,563.0,566.0,-3.0,21679
60,2023-07-27,13004888,7396939592,570.0,570.0,566.0,569.0,3.0,12672
61,2023-07-28,19009675,10814265557,569.0,573.0,565.0,567.0,-2.0,19313
62,2023-07-31,28409339,16044638425,575.0,575.0,560.0,565.0,-2.0,28425
63,2023-08-01,18916866,10711815419,565.0,568.0,564.0,567.0,2.0,13827
64,2023-08-02,34495766,19394908189,567.0,569.0,558.0,561.0,-6.0,34408
65,2023-08-04,29320685,16266624892,556.0,560.0,552.0,554.0,-7.0,47739
66,2023-08-07,15607870,8719529904,558.0,561.0,556.0,558.0,4.0,13239
67,2023-08-08,21167596,11708530913,558.0,558.0,551.0,552.0,-6.0,33867
68,2023-08-09,15088059,8355524852,550.0,557.0,550.0,554.0,2.0,14590
69,2023-08-10,18884431,10418779108,552.0,554.0,550.0,551.0,-3.0,21572
70,2023-08-11,24816095,13663661565,556.0,558.0,546.0,546.0,-5.0,33682
71,2023-08-14,24728477,13344853868,540.0,543.0,537.0,541.0,-5.0,44024
72,2023-08-15,16341396,8859336259,543.0,545.0,540.0,542.0,1.0,20787
73,2023-08-16,29612963,15981443678,541.0,543.0,536.0,542.0,0.0,44555
74,2023-08-17,24070209,13048399357,540.0,546.0,537.0,544.0,2.0,18167
75,2023-08-18,19582982,10591633376,540.0,544.0,539.0,539.0,-5.0,21346
76,2023-08-21,18313588,9840509268,544.0,544.0,534.0,537.0,-2.0,33922
77,2023-08-22,14853796,8041168413,544.0,544.0,538.0,541.0,4.0,13606
78,2023-08-23,21701684,11920663477,546.0,552.0,544.0,552.0,11.0,21521
79,2023-08-24,24409517,13715472727,563.0,564.0,558.0,564.0,12.0,28550
80,2023-08-25,25782760,14141567044,549.0,551.0,546.0,546.0,-18.0,42456
81,2023-08-28,9384631,5166103257,547.0,553.0,547.0,549.0,3.0,11096
82,2023-08-29,10969386,6035376093,551.0,553.0,546.0,552.0,3.0,11040
83,2023-08-30,18674649,10396527428,558.0,560.0,554.0,555.0,3.0,14916
84,2023-08-31,47265347,25978808976,553.0,556.0,548.0,549.0,-6.0,19831
85,2023-09-01,15194921,8331995536,543.0,553.0,543.0,548.0,-1.0,12739
86,2023-09-04,9772925,5412329762,549.0,557.0,549.0,557.0,9.0,12158
87,2023-09-05,14337041,7911531475,553.0,555.0,550.0,552.0,-5.0,13714
88,2023-09-06,14442757,7972706415,556.0,556.0,550.0,550.0,-2.0,12752
89,2023-09-07,22610385,12305542681,546.0,548.0,542.0,542.0,-8.0,41564
90,2023-09-08,16702110,8980038278,535.0,540.0,535.0,539.0,-3.0,36672
91,2023-09-11,15540773,8348107210,539.0,540.0,536.0,536.0,-3.0,31155
92,2023-09-12,17135765,9268673682,536.0,545.0,536.0,544.0,8.0,20545
93,2023-09-13,16836487,9146776791,545.0,548.0,541.0,541.0,-3.0,18111
94,2023-09-14,18377284,10058129685,544.0,550.0,543.0,550.0,0.0,19037
95,2023-09-15,44681949,24818735444,549.0,558.0,547.0,558.0,8.0,18023
96,2023-09-18,40148161,21843932948,548.0,549.0,540.0,540.0,-18.0,58958
97,2023-09-19,21099739,11374956906,539.0,543.0,538.0,538.0,-2.0,45323
98,2023-09-20,28098535,15065407249,536.0,538.0,535.0,535.0,-3.0,50355
99,2023-09-21,35984810,19006048743,530.0,531.0,526.0,527.0,-8.0,96356
100,2023-09-22,33499481,17519111007,523.0,525.0,522.0,522.0,-5.0,68488
101,2023-09-25,20583374,10814706278,522.0,529.0,522.0,525.0,3.0,23438
102,2023-09-26,29064997,15130935931,521.0,524.0,519.0,519.0,-6.0,66748
103,2023-09-27,18655088,9709749290,517.0,523.0,516.0,522.0,3.0,22249
104,2023-09-28,28350350,14826254349,523.0,525.0,520.0,523.0,1.0,20589
105,2023-10-02,26891996,14300676237,530.0,534.0,528.0,533.0,10.0,23151
106,2023-10-03,17601440,9335110434,528.0,533.0,528.0,529.0,-4.0,17430
107,2023-10-04,29808729,15519741014,521.0,523.0,519.0,520.0,-9.0,49176
108,2023-10-05,25749184,13563941939,523.0,529.0,523.0,528.0,8.0,19027
109,2023-10-06,16160314,8587684448,530.0,533.0,529.0,532.0,4.0,14047
110,2023-10-11,61670562,33477968593,542.0,544.0,540.0,544.0,12.0,43385
111,2023-10-12,36350241,19916786786,545.0,550.0,544.0,550.0,6.0,35333
112,2023-10-13,34704924,19128100250,550.0,554.0,548.0,553.0,3.0,31159
113,2023-10-16,21867048,11909042136,546.0,547.0,542.0,545.0,-8.0,21225
114,2023-10-17,19462529,10712565922,550.0,552.0,548.0,551.0,6.0,19538
115,2023-10-18,28848123,15664232734,549.0,549.0,540.0,540.0,-11.0,27159
116,2023-10-19,26999255,14717458172,540.0,548.0,540.0,546.0,6.0,18309
117,2023-10-20,49143932,27116129760,549.0,556.0,546.0,556.0,10.0,41402
118,2023-10-23,24172637,13193058890,552.0,553.0,543.0,544.0,-12.0,23393
119,2023-10-24,15761516,8562488660,543.0,546.0,540.0,544.0,0.0,15637
120,2023-10-25,17137199,9371422161,544.0,551.0,544.0,544.0,0.0,12233
121,2023-10-26,31682955,16851704175,530.0,535.0,530.0,531.0,-13.0,45750
