,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2023-05-02,1594637,147150078,92.0,92.9,91.6,92.4,0.6,1252
1,2023-05-03,1633685,151029977,92.4,92.9,91.7,92.5,0.1,798
2,2023-05-04,2905445,271463259,92.5,94.1,92.3,94.1,1.6,1717
3,2023-05-05,1843985,173836010,94.1,94.8,93.7,94.3,0.2,1479
4,2023-05-08,1702093,161091734,95.0,95.4,94.2,94.5,0.2,2399
5,2023-05-09,1652412,156514422,94.5,95.4,94.5,94.8,0.3,1827
6,2023-05-10,1735774,164357295,95.0,95.1,94.3,94.8,0.0,1447
7,2023-05-11,3382939,320377491,94.8,95.1,94.2,94.5,-0.3,911
8,2023-05-12,1312513,123930931,94.3,94.8,93.6,94.7,0.2,1397
9,2023-05-15,1521056,143460683,94.3,94.7,94.0,94.3,-0.4,1676
10,2023-05-16,1394890,132353506,94.7,95.2,94.5,94.7,0.4,1589
11,2023-05-17,2388845,227205125,95.0,95.5,94.5,95.4,0.7,2314
12,2023-05-18,2373444,227398963,95.4,96.2,95.3,95.8,0.4,2208
13,2023-05-19,2886263,277040721,96.4,96.4,95.5,96.0,0.2,1610
14,2023-05-22,2606587,247415372,95.5,96.0,94.1,94.9,-1.1,3803
15,2023-05-23,3132180,294354576,95.1,95.4,93.5,94.2,-0.7,4852
16,2023-05-24,1872350,176938313,94.4,95.2,93.8,95.2,1.0,1298
17,2023-05-25,2739597,261849090,95.0,96.3,95.0,96.2,1.0,1873
18,2023-05-26,3666046,357383519,96.2,98.0,96.2,98.0,1.8,3033
19,2023-05-29,3830220,379555267,99.0,99.9,98.6,98.7,0.7,2757
20,2023-05-30,3514290,348027768,99.3,99.5,98.3,99.3,0.6,4037
21,2023-05-31,3540771,352268216,99.7,99.9,98.7,99.9,0.6,2026
22,2023-06-01,2335500,232549721,99.9,99.9,99.1,99.9,0.0,2816
23,2023-06-02,2901791,292856328,99.9,102.0,99.7,101.5,1.6,2388
24,2023-06-05,1916641,192483177,101.5,101.5,100.0,100.5,-1.0,2901
25,2023-06-06,2140912,213838190,100.5,100.5,99.2,100.0,-0.5,2824
26,2023-06-07,3454176,346310875,100.5,101.0,99.8,101.0,1.0,3034
27,2023-06-08,2967835,298215927,101.0,101.0,99.8,100.5,-0.5,2570
28,2023-06-09,3739955,373383992,100.5,101.0,99.2,100.0,-0.5,4380
29,2023-06-12,1699900,170413000,101.0,101.0,99.6,100.5,0.5,1564
30,2023-06-13,3082839,311698449,101.5,103.0,100.5,101.0,0.5,2492
31,2023-06-14,2570640,260645809,101.5,102.0,101.0,101.5,0.5,2133
32,2023-06-15,2608727,267698235,102.0,103.0,101.5,103.0,1.5,2350
33,2023-06-16,7465556,768533544,103.0,104.5,101.0,104.5,1.5,3521
34,2023-06-19,4538108,465438274,105.0,105.0,101.5,102.0,-2.5,2727
35,2023-06-20,3079938,315878623,102.5,103.0,101.5,103.0,1.0,1724
36,2023-06-21,3152523,324919844,103.0,103.5,102.5,103.5,0.5,1990
37,2023-06-26,2901523,302160250,103.5,105.0,102.5,105.0,1.5,1909
38,2023-06-27,3267194,341585548,105.0,105.5,103.0,104.5,-0.5,1854
39,2023-06-28,2763102,286008417,105.0,105.0,102.0,103.5,-1.0,1806
40,2023-06-29,2020741,211415032,104.5,105.0,103.5,105.0,1.5,1393
41,2023-06-30,1712048,179474536,104.5,105.0,104.0,105.0,0.0,1294
42,2023-07-03,3395606,361847935,105.0,107.5,104.5,106.5,1.5,2245
43,2023-07-04,2456701,262529481,106.0,108.0,106.0,107.0,0.5,1645
44,2023-07-05,2394404,256315921,107.0,107.5,106.5,107.0,0.0,1741
45,2023-07-06,3204479,338796181,106.5,107.0,105.0,105.5,-1.5,2076
46,2023-07-07,3944348,410248003,104.5,105.0,103.0,104.0,-1.5,2455
47,2023-07-10,2923870,305263022,104.0,105.5,103.0,105.0,1.0,1927
48,2023-07-11,2489474,262493885,105.5,106.0,104.5,105.5,0.5,1322
